Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
5,ii-svd-blend,0.2,0.092,76.108,172,860,860,1.0,0.6593096999662872,0.7353891194548875,0.9764707472059307,0.04557016551379762,0.06590268886240516,0.0710382354403702
5,svd,,21.308,1.088,172,860,860,1.0,0.6657461677229363,0.7401543649671696,0.9750143474272472,0.0546394804642916,0.08762786647956566,0.09658989121193924
5,ii-svd-blend,0.1,0.085,81.379,172,860,860,1.0,0.6622302164669571,0.738557950672981,0.9761450214827112,0.03935726551765044,0.05563600620326775,0.06186217587312682
1,ii-svd-blend,0.2,0.105,82.501,173,865,865,1.0,0.6935363866378468,0.7698958404774819,0.9695732469006211,0.04353787496404682,0.05315125405087255,0.061488306917891936
4,lucene,,0.036000000000000004,32.747,172,860,826,0.9604651162790697,0.6989895340542817,0.7777143599644815,0.9500476717728676,0.017142652092401903,0.02260561407017235,0.02317882961431813
5,ii-svd-blend,0,0.097,84.10300000000001,172,860,860,1.0,0.6659359501974812,0.7425148286192238,0.9757960472468383,0.032973099079668555,0.044455067704084764,0.04683379391237033
1,lucene-svd-blend,0.2,0.035,36.175000000000004,173,865,865,1.0,0.6934136454185201,0.7677900760119584,0.9715667335049681,0.039466422401314205,0.05935703780641056,0.06071393864401971
5,ii,,0.128,84.105,172,860,860,1.0,0.6659359501974812,0.7425148286192238,0.9757960472468383,0.032973099079668555,0.044455067704084764,0.04683379391237033
4,lucene-svd-blend,1.0,41.438,33.599000000000004,172,860,860,1.0,0.691983294213295,0.7593700295177007,0.9705062758483112,0.04332508720596153,0.07047444990070448,0.07116844421388484
4,lucene-svd-blend,0.9,7.595,33.599000000000004,172,860,860,1.0,0.6867151110186787,0.7529393996489829,0.9705486862248327,0.04410467395774906,0.0742187831328518,0.07512594444698986
1,ii-svd-blend,0.3,0.138,79.458,173,865,865,1.0,0.6929546663150851,0.768559453573134,0.9702243390887842,0.04656304747952603,0.06127599725050969,0.07004686224553762
4,lucene-svd-blend,0.8,0.035,37.668,172,860,860,1.0,0.6830497004321544,0.7483853368206548,0.9702447398694324,0.044058698331096297,0.07212867549307359,0.07483438956164674
1,lucene-svd-blend,0.3,0.043000000000000003,33.988,173,865,865,1.0,0.6898185584086,0.7635457859710533,0.9718948796193531,0.040140685373882136,0.0626804340050352,0.06434228371601787
4,ii-svd-blend,1.0,60.145,95.514,172,860,860,1.0,0.691983294213295,0.7593700295177007,0.9705062758483112,0.04332508720596153,0.07047444990070448,0.07116844421388484
4,ii-svd-blend,0.9,0.101,96.973,172,860,860,1.0,0.6883586922004014,0.7556744972220663,0.970844162849073,0.042944969357359246,0.07118613213431953,0.07176941513039323
4,lucene-svd-blend,0.7,0.097,36.455,172,860,860,1.0,0.680957141097836,0.7457422210140023,0.9714491097876915,0.043809743837557424,0.07628536676501792,0.07757114494033099
4,ii-svd-blend,0.8,0.145,94.623,172,860,860,1.0,0.6855329093104179,0.7529116664566173,0.9714047325027246,0.04303494608593546,0.07044760182008887,0.07103560393425377
1,ii-svd-blend,0.4,0.096,92.456,173,865,865,1.0,0.6931241310640639,0.768104777177805,0.9711186332771296,0.04941314727968517,0.06823984198194351,0.08027047116235168
4,lucene-svd-blend,0.6,0.051000000000000004,34.201,172,860,860,1.0,0.6804183773625748,0.7450303906874979,0.9706273546582908,0.03957410883999684,0.06820937697733184,0.0694540705912115
1,lucene-svd-blend,0.4,0.032,33.235,173,865,865,1.0,0.6878463513672028,0.7610816144648264,0.9726443461471203,0.04360859008968506,0.06612845753412676,0.06941288598131759
4,ii-svd-blend,0.7,0.101,88.903,172,860,860,1.0,0.6835206386331456,0.7510918298941128,0.9723017240346142,0.04457450300885653,0.07964173948946071,0.0818033053138172
4,lucene-svd-blend,0.5,0.024,34.449,172,860,860,1.0,0.6814174810237524,0.7462553724452318,0.9708415083037385,0.03462012186213685,0.05419679251087904,0.05749874895237036
4,ii-svd-blend,0.6,0.09,86.724,172,860,860,1.0,0.6823370053494979,0.7502218499173708,0.9722890965619019,0.04246692512172038,0.07428466771566526,0.07853982147663298
4,lucene-svd-blend,0.4,0.025,31.774,172,860,860,1.0,0.6839403141401748,0.7494076686084251,0.9717499151548459,0.029954981930506837,0.04313339375815507,0.0438868743523839
